timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1624834663045,355,Upadate Album-1,200,,jp@gc - Load Thread Group 1-42,text,true,,5361,269,100,100,http://localhost:8082/css/style.css,7,0,0
1624834663402,396,Upadate Album-2,200,OK,jp@gc - Load Thread Group 1-42,text,true,,161448,165,100,100,https://stackpath.bootstrapcdn.com/bootstrap/4.5.2/css/bootstrap.min.css,392,0,121
1624834663801,3466,Upadate Album-3,200,,jp@gc - Load Thread Group 1-42,bin,true,,38483,133,100,100,http://localhost:8082/img/choonzimg.png,3463,0,0
1624834667266,1551,Upadate Album-4,200,,jp@gc - Load Thread Group 1-42,text,true,,3097,128,100,100,http://localhost:8082/js/update.js,1551,0,0
1624834668817,810,Upadate Album-5,200,,jp@gc - Load Thread Group 1-42,text,true,,1245,128,100,100,http://localhost:8082/js/mutual.js,810,0,0
1624834669628,727,Upadate Album-6,200,OK,jp@gc - Load Thread Group 1-42,text,true,,72862,141,100,100,https://code.jquery.com/jquery-3.5.1.slim.min.js,654,0,424
1624834670356,437,Upadate Album-7,200,OK,jp@gc - Load Thread Group 1-42,text,true,,22193,161,100,100,https://cdn.jsdelivr.net/npm/popper.js@1.16.1/dist/umd/popper.min.js,420,0,287
1624834670793,219,Upadate Album-8,200,OK,jp@gc - Load Thread Group 1-42,text,true,,61180,163,100,100,https://stackpath.bootstrapcdn.com/bootstrap/4.5.2/js/bootstrap.min.js,144,0,0
1624834661053,7219,Upadate Album,200,,jp@gc - Load Thread Group 1-67,text,true,,369262,1419,100,100,http://localhost:8082/update?x=albums,10,0,2
1624834661053,10,Upadate Album-0,200,,jp@gc - Load Thread Group 1-67,text,true,,3393,131,100,100,http://localhost:8082/update?x=albums,10,0,2
1624834661064,505,Upadate Album-1,200,,jp@gc - Load Thread Group 1-67,text,true,,5361,269,100,100,http://localhost:8082/css/style.css,6,0,0
1624834661571,878,Upadate Album-2,200,OK,jp@gc - Load Thread Group 1-67,text,true,,161448,165,100,100,https://stackpath.bootstrapcdn.com/bootstrap/4.5.2/css/bootstrap.min.css,375,0,253
1624834663372,788,Upadate Album-3,200,,jp@gc - Load Thread Group 1-67,bin,true,,38483,133,100,100,http://localhost:8082/img/choonzimg.png,787,0,0
1624834664160,321,Upadate Album-4,200,,jp@gc - Load Thread Group 1-67,text,true,,3097,128,100,100,http://localhost:8082/js/update.js,321,0,0
1624834664481,50,Upadate Album-5,200,,jp@gc - Load Thread Group 1-67,text,true,,1245,128,100,100,http://localhost:8082/js/mutual.js,50,0,0
1624834664652,2040,Upadate Album-6,200,OK,jp@gc - Load Thread Group 1-67,text,true,,72862,141,100,100,https://code.jquery.com/jquery-3.5.1.slim.min.js,1888,0,1630
1624834666695,1433,Upadate Album-7,200,OK,jp@gc - Load Thread Group 1-67,text,true,,22193,161,100,100,https://cdn.jsdelivr.net/npm/popper.js@1.16.1/dist/umd/popper.min.js,1337,0,394
