timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1624631561135,5389,Upadate Album-4,200,,jp@gc - spike Thread Group 1-433,text,true,,3097,128,298,298,http://localhost:8082/js/update.js,5386,0,0
1624631566525,944,Upadate Album-5,200,,jp@gc - spike Thread Group 1-433,text,true,,1245,128,298,298,http://localhost:8082/js/mutual.js,944,0,0
1624631571628,6731,Upadate Album-6,200,OK,jp@gc - spike Thread Group 1-433,text,true,,72838,141,298,298,https://code.jquery.com/jquery-3.5.1.slim.min.js,6632,0,6508
1624631583301,2577,Upadate Album-7,200,OK,jp@gc - spike Thread Group 1-433,text,true,,22194,161,298,298,https://cdn.jsdelivr.net/npm/popper.js@1.16.1/dist/umd/popper.min.js,2569,0,2457
1624631585880,155,Upadate Album-8,200,OK,jp@gc - spike Thread Group 1-433,text,true,,61180,163,298,298,https://stackpath.bootstrapcdn.com/bootstrap/4.5.2/js/bootstrap.min.js,110,0,0
1624631573355,5822,Upadate Album-8,200,OK,jp@gc - spike Thread Group 1-18,text,true,,61180,163,298,298,https://stackpath.bootstrapcdn.com/bootstrap/4.5.2/js/bootstrap.min.js,1990,0,0
1624631524944,6614,Upadate Album-1,200,,jp@gc - spike Thread Group 1-114,text,true,,5361,269,298,298,http://localhost:8082/css/style.css,90,0,0
1624631567471,1038,Upadate Album-6,200,OK,jp@gc - spike Thread Group 1-299,text,true,,72862,141,298,298,https://code.jquery.com/jquery-3.5.1.slim.min.js,843,0,667
1624631534869,1515,Upadate Album-1,200,,jp@gc - spike Thread Group 1-290,text,true,,5361,269,298,298,http://localhost:8082/css/style.css,1241,0,0
1624631586404,509,Upadate Album-7,200,OK,jp@gc - spike Thread Group 1-37,text,true,,22193,161,298,298,https://cdn.jsdelivr.net/npm/popper.js@1.16.1/dist/umd/popper.min.js,490,0,309
1624631586937,1778,Upadate Album-8,200,OK,jp@gc - spike Thread Group 1-37,text,true,,61164,163,298,298,https://stackpath.bootstrapcdn.com/bootstrap/4.5.2/js/bootstrap.min.js,1777,0,0
1624631573032,6475,Upadate Album-6,200,OK,jp@gc - spike Thread Group 1-476,text,true,,72862,141,298,298,https://code.jquery.com/jquery-3.5.1.slim.min.js,6092,0,5972
1624631521348,8,Upadate Album-0,200,,jp@gc - spike Thread Group 1-123,text,true,,3393,131,298,298,http://localhost:8082/update?x=albums,8,0,1
