timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1624855347686,17231,Upadate Album,200,,jp@gc - Stress Thread Group 1-221,text,true,,369271,1419,225,225,http://localhost:8082/update?x=albums,296,0,14
1624855347686,296,Upadate Album-0,200,,jp@gc - Stress Thread Group 1-221,text,true,,3393,131,225,225,http://localhost:8082/update?x=albums,296,0,14
1624855347983,1150,Upadate Album-1,200,,jp@gc - Stress Thread Group 1-221,text,true,,5361,269,225,225,http://localhost:8082/css/style.css,577,0,0
1624855349134,492,Upadate Album-2,200,OK,jp@gc - Stress Thread Group 1-221,text,true,,161448,165,225,225,https://stackpath.bootstrapcdn.com/bootstrap/4.5.2/css/bootstrap.min.css,286,0,194
1624855354711,225,Upadate Album-3,200,,jp@gc - Stress Thread Group 1-221,bin,true,,38483,133,225,225,http://localhost:8082/img/choonzimg.png,225,0,0
1624855354936,804,Upadate Album-4,200,,jp@gc - Stress Thread Group 1-221,text,true,,3097,128,225,225,http://localhost:8082/js/update.js,804,0,0
1624855355741,194,Upadate Album-5,200,,jp@gc - Stress Thread Group 1-221,text,true,,1245,128,225,225,http://localhost:8082/js/mutual.js,194,0,0
1624855355936,7931,Upadate Album-6,200,OK,jp@gc - Stress Thread Group 1-221,text,true,,72862,141,225,225,https://code.jquery.com/jquery-3.5.1.slim.min.js,4030,0,2756
1624855363867,714,Upadate Album-7,200,OK,jp@gc - Stress Thread Group 1-221,text,true,,22194,161,225,225,https://cdn.jsdelivr.net/npm/popper.js@1.16.1/dist/umd/popper.min.js,626,0,402
1624855364580,337,Upadate Album-8,200,OK,jp@gc - Stress Thread Group 1-221,text,true,,61188,163,225,225,https://stackpath.bootstrapcdn.com/bootstrap/4.5.2/js/bootstrap.min.js,268,0,0
1624855342475,22444,Upadate Album,200,,jp@gc - Stress Thread Group 1-25,text,true,,369262,1419,225,225,http://localhost:8082/update?x=albums,78,0,45
1624855342475,82,Upadate Album-0,200,,jp@gc - Stress Thread Group 1-25,text,true,,3393,131,225,225,http://localhost:8082/update?x=albums,78,0,45
1624855342656,3708,Upadate Album-1,200,,jp@gc - Stress Thread Group 1-25,text,true,,5361,269,225,225,http://localhost:8082/css/style.css,29,0,0
